file_number,transaction_number,command,phone_address,device_address,NG,request time,response time
1,1,OnOff,59:11:94:40:bd:7b,88:57:1d:0e:54:15,Success,2020-07-14 18:07:14,2020-07-14 18:07:14
1,2,OnOff,59:11:94:40:bd:7b,88:57:1d:0e:54:15,Success,2020-07-14 18:07:20,2020-07-14 18:07:20
1,3,OnOff,59:11:94:40:bd:7b,88:57:1d:0e:54:15,Success,2020-07-14 18:07:28,2020-07-14 18:07:28
1,4,OnOff,59:11:94:40:bd:7b,88:57:1d:0e:54:15,Success,2020-07-14 18:07:34,2020-07-14 18:07:35
1,5,OnOff,59:11:94:40:bd:7b,88:57:1d:0e:54:15,Success,2020-07-14 18:07:41,2020-07-14 18:07:41
1,6,OnOff,59:11:94:40:bd:7b,88:57:1d:0e:54:15,Success,2020-07-14 18:07:47,2020-07-14 18:07:47
