file_number,transaction_number,command,phone_address,device_address,NG,request time,response time,error code
3,1,Dim Level,6d:0c:14:2b:14:38,88:57:1d:0e:54:15,Success,2020-07-16 08:31:12,2020-07-16 08:31:12,0
3,2,OnOff,6d:0c:14:2b:14:38,88:57:1d:0e:54:15,Success,2020-07-16 08:31:12,2020-07-16 08:31:12,0
3,3,Dim Level,6d:0c:14:2b:14:38,88:57:1d:0e:54:15,Success,2020-07-16 08:31:19,2020-07-16 08:31:19,0
3,4,OnOff,6d:0c:14:2b:14:38,88:57:1d:0e:54:15,Success,2020-07-16 08:31:19,2020-07-16 08:31:19,0
3,5,Color Temp,6d:0c:14:2b:14:38,88:57:1d:0e:54:15,Success,2020-07-16 08:31:27,2020-07-16 08:31:27,0
3,6,OnOff,6d:0c:14:2b:14:38,88:57:1d:0e:54:15,Success,2020-07-16 08:31:27,2020-07-16 08:31:28,0
3,7,Color Temp,6d:0c:14:2b:14:38,88:57:1d:0e:54:15,Success,2020-07-16 08:31:34,2020-07-16 08:31:34,0
3,8,OnOff,6d:0c:14:2b:14:38,88:57:1d:0e:54:15,Success,2020-07-16 08:31:34,2020-07-16 08:31:34,0
