file number,transaction number,packet number,command,command value,dest,src,time,location
1,18,625,level,25,Hub,Edge,2020-09-04 18:41:13,1
1,18,629,level,25,Edge,Hub,2020-09-04 18:41:13,2
1,18,631,level,25,Edge,Hub,2020-09-04 18:41:14,3
1,18,633,level,25,Hub,Edge,2020-09-04 18:41:14,4
1,18,637,level,25,Edge,Hub,2020-09-04 18:41:14,5
1,19,641,level,25,Hub,Edge,2020-09-04 18:41:24,1
1,19,645,level,25,Edge,Hub,2020-09-04 18:41:24,2
1,20,653,color,1,Hub,Edge,2020-09-04 18:41:35,1
1,20,659,color,250,Hub,Edge,2020-09-04 18:41:35,3
1,20,663,color,1,Edge,Hub,2020-09-04 18:41:35,2
1,20,667,color,250,Edge,Hub,2020-09-04 18:41:35,4
1,20,669,color,250,Hub,Edge,2020-09-04 18:41:37,5
1,20,673,color,250,Edge,Hub,2020-09-04 18:41:37,6
1,21,676,On/Off,0,Hub,Edge,2020-09-04 18:41:39,1
1,21,680,On/Off,0,Edge,Hub,2020-09-04 18:41:39,3
1,21,682,On/Off,0,Edge,Hub,2020-09-04 18:41:39,2
1,21,684,On/Off,0,Hub,Edge,2020-09-04 18:41:39,4
1,21,688,On/Off,0,Edge,Hub,2020-09-04 18:41:39,5
1,23,704,color,1,Hub,Edge,2020-09-04 18:41:47,1
1,23,708,color,1,Edge,Hub,2020-09-04 18:41:47,2
1,23,710,color,286,Hub,Edge,2020-09-04 18:41:47,3
1,23,714,color,286,Edge,Hub,2020-09-04 18:41:47,4
1,23,717,color,286,Hub,Edge,2020-09-04 18:41:49,5
1,23,721,color,286,Edge,Hub,2020-09-04 18:41:49,6
1,24,724,color,1,Hub,Edge,2020-09-04 18:41:56,1
1,24,728,color,1,Edge,Hub,2020-09-04 18:41:56,2
1,24,730,color,200,Hub,Edge,2020-09-04 18:41:56,3
1,24,734,color,200,Edge,Hub,2020-09-04 18:41:56,4
1,24,737,color,200,Hub,Edge,2020-09-04 18:41:58,5
1,24,741,color,200,Edge,Hub,2020-09-04 18:41:58,6
1,25,743,level,127,Hub,Edge,2020-09-04 18:42:03,1
1,25,747,level,127,Edge,Hub,2020-09-04 18:42:03,2
1,25,750,level,127,Edge,Hub,2020-09-04 18:42:03,3
1,25,752,level,127,Hub,Edge,2020-09-04 18:42:03,4
1,25,756,level,127,Edge,Hub,2020-09-04 18:42:04,5
1,26,758,level,25,Hub,Edge,2020-09-04 18:42:07,1
1,26,762,level,25,Edge,Hub,2020-09-04 18:42:07,2
1,26,764,level,25,Edge,Hub,2020-09-04 18:42:07,3
1,26,766,level,25,Hub,Edge,2020-09-04 18:42:07,4
1,26,770,level,25,Edge,Hub,2020-09-04 18:42:07,5
1,27,773,color,1,Hub,Edge,2020-09-04 18:42:12,1
1,27,777,color,1,Edge,Hub,2020-09-04 18:42:12,2
1,27,779,color,286,Hub,Edge,2020-09-04 18:42:12,3
1,27,783,color,286,Edge,Hub,2020-09-04 18:42:12,4
1,27,786,color,286,Hub,Edge,2020-09-04 18:42:14,5
1,27,790,color,286,Edge,Hub,2020-09-04 18:42:14,6
1,28,793,color,1,Hub,Edge,2020-09-04 18:42:17,1
1,28,797,color,1,Edge,Hub,2020-09-04 18:42:17,2
1,28,799,color,370,Hub,Edge,2020-09-04 18:42:17,3
1,28,803,color,370,Edge,Hub,2020-09-04 18:42:17,4
1,28,806,color,370,Hub,Edge,2020-09-04 18:42:19,5
1,28,810,color,370,Edge,Hub,2020-09-04 18:42:19,6
